latitude,longitude,sst_celsius
14.5403,68.99,2.53
14.5403,69.0555,2.46
14.5403,69.1209,2.53
14.5403,69.3174,2.59
14.5403,69.3828,2.43
14.5403,69.5138,2.6
14.5403,69.6447,2.4
14.4749,67.5496,2.34
14.4749,67.6151,2.29
14.4749,67.6805,2.33
14.4749,67.746,2.3
14.4749,67.8115,2.29
14.4749,67.877,2.32
14.4749,67.9424,2.26
14.4749,68.0079,2.27
14.4749,68.0734,2.29
14.4749,68.4007,2.44
14.4749,68.4662,2.32
14.4749,68.5317,2.37
14.4749,68.5972,2.3
14.4749,68.859,2.36
14.4749,68.9245,2.4
14.4749,68.99,2.45
14.4749,69.0555,2.47
14.4749,69.3828,2.67
14.4749,70.0376,2.47
14.4094,67.4841,3.53
14.4094,67.5496,2.27
14.4094,67.6151,2.28
14.4094,67.6805,2.31
14.4094,67.746,2.3
14.4094,67.8115,2.33
14.4094,67.877,2.28
14.4094,67.9424,2.23
14.4094,68.0079,2.35
14.4094,68.0734,2.35
14.4094,68.1388,2.57
14.4094,68.7281,2.31
14.4094,68.7936,2.42
14.4094,68.859,2.38
14.4094,69.6447,2.61
14.4094,70.0376,2.58
14.4094,70.7578,2.6
14.4094,70.8232,2.32
14.3439,67.4841,3.65
14.3439,67.5496,2.37
14.3439,67.6151,2.3
14.3439,67.6805,2.31
14.3439,67.746,2.2
14.3439,67.9424,2.42
14.3439,68.0079,2.35
14.3439,68.0734,2.35
14.3439,68.3353,2.52
14.3439,68.5317,2.38
14.3439,68.5972,2.37
14.3439,68.7281,2.36
14.3439,68.7936,2.32
14.3439,68.859,2.37
14.3439,68.9245,2.38
14.3439,69.4483,2.51
14.3439,69.5138,2.55
14.3439,69.5792,2.63
14.3439,69.6447,2.55
14.3439,69.7102,2.57
14.3439,69.9721,2.51
14.3439,70.0376,2.52
14.3439,70.103,2.42
14.3439,70.1685,2.43
14.3439,70.3649,2.55
14.3439,70.5613,2.46
14.3439,70.6923,2.44
14.2784,67.4841,2.53
14.2784,67.5496,2.31
14.2784,67.746,2.47
14.2784,67.8115,2.2
14.2784,67.877,2.34
14.2784,67.9424,2.3
14.2784,68.0079,2.34
14.2784,68.0734,2.54
14.2784,68.2698,2.41
14.2784,68.5317,2.44
14.2784,68.7281,2.33
14.2784,68.7936,2.33
14.2784,68.859,2.46
14.2784,68.9245,2.59
14.2784,69.3828,2.53
14.2784,69.5138,2.42
14.2784,69.5792,2.53
14.2784,69.6447,2.29
14.2784,69.7102,2.49
14.2784,69.7757,2.58
14.2784,69.9721,2.36
14.2784,70.0376,2.28
14.2784,70.103,2.51
14.2784,70.1685,2.38
14.2784,70.4304,2.39
14.2784,70.4959,2.39
14.2784,70.5613,2.34
14.2784,70.6268,2.29
14.2784,70.6923,2.37
14.2784,70.7578,2.3
14.213,67.4841,2.36
14.213,67.5496,2.3
14.213,67.6151,2.34
14.213,67.6805,2.3
14.213,67.746,2.29
14.213,67.8115,2.32
14.213,67.877,2.21
14.213,67.9424,2.39
14.213,68.0079,2.34
14.213,68.0734,2.39
14.213,68.1388,2.38
14.213,68.2043,2.37
14.213,68.2698,2.47
14.213,68.5972,2.46
14.213,68.7936,2.33
14.213,68.859,2.44
14.213,68.9245,2.37
14.213,68.99,2.38
14.213,69.1864,2.58
14.213,69.2519,2.55
14.213,69.3174,2.45
14.213,69.3828,2.41
14.213,69.4483,2.48
14.213,69.5792,2.5
14.213,69.6447,2.4
14.213,69.9066,2.43
