latitude,longitude,chlorophyll_mgm3
15.1951,68.5972,0.6598
15.1951,68.6626,0.6345
15.1951,70.2994,0.3901
15.1951,70.3649,0.3585
15.1951,70.6923,0.4348
15.1296,67.6151,0.3787
15.1296,67.6805,0.5473
15.1296,67.746,0.5529
15.1296,67.8115,0.569
15.1296,68.0079,0.6577
15.1296,68.1388,0.6299
15.1296,68.2043,0.6204
15.1296,68.2698,0.8741
15.1296,68.3353,0.6991
15.1296,68.4007,0.5746
15.1296,68.4662,0.7189
15.1296,68.5972,0.8049
15.1296,68.6626,0.4892
15.1296,68.7281,0.5317
15.1296,68.7936,0.4565
15.1296,68.859,0.4025
15.1296,68.9245,0.4281
15.1296,68.99,0.4475
15.1296,69.2519,0.5029
15.1296,69.3174,0.4808
15.1296,69.3828,0.4435
15.1296,69.5792,0.4177
15.1296,69.9066,0.4404
15.1296,70.0376,1.0525
15.1296,70.1685,0.4675
15.1296,70.234,0.4143
15.1296,70.2994,0.383
15.1296,70.3649,0.4034
15.0641,67.6151,2.5451
15.0641,67.6805,0.5651
15.0641,67.746,0.5003
15.0641,67.8115,0.5217
15.0641,67.9424,0.6179
15.0641,68.0079,0.6099
15.0641,68.0734,0.601
15.0641,68.2698,0.6463
15.0641,68.3353,0.6569
15.0641,68.4662,0.7486
15.0641,68.5317,1.0959
15.0641,68.5972,0.7055
15.0641,68.6626,0.6015
15.0641,68.7281,0.5789
15.0641,68.7936,0.5895
15.0641,68.859,0.4175
15.0641,68.9245,0.4558
15.0641,69.0555,0.4848
15.0641,69.1209,0.5093
15.0641,69.1864,0.5617
15.0641,69.3174,0.526
15.0641,69.3828,0.4616
15.0641,69.5138,0.4886
15.0641,69.8411,0.5522
15.0641,69.9066,0.4207
15.0641,70.0376,0.5297
15.0641,70.103,0.4264
15.0641,70.234,0.39
15.0641,70.3649,0.4159
15.0641,70.4304,0.3772
15.0641,70.4959,0.4253
14.9986,67.6151,1.1733
14.9986,67.6805,0.5529
14.9986,67.746,0.5597
14.9986,67.8115,0.5826
14.9986,67.877,0.5547
14.9986,67.9424,0.708
14.9986,68.0079,0.6384
14.9986,68.1388,0.5608
14.9986,68.2043,0.533
14.9986,68.4662,0.7255
14.9986,68.5317,0.6406
14.9986,68.5972,0.6698
14.9986,68.6626,0.7011
14.9986,68.7281,0.5349
14.9986,68.7936,0.497
14.9986,68.859,0.4873
14.9986,68.9245,0.5353
14.9986,69.0555,0.6084
14.9986,69.1209,0.5447
14.9986,69.1864,0.5112
14.9986,69.7757,0.713
14.9986,70.8887,0.5195
14.9332,67.6151,0.5444
14.9332,67.6805,0.5356
14.9332,67.746,0.5358
14.9332,67.8115,0.5229
14.9332,67.877,0.5305
14.9332,67.9424,0.5336
14.9332,68.0079,0.5464
14.9332,68.0734,0.6115
14.9332,68.2043,0.5826
14.9332,68.2698,0.6093
14.9332,68.4662,0.6361
14.9332,68.5317,0.6537
14.9332,68.5972,0.5982
14.9332,68.6626,0.6986
14.9332,68.7281,0.7118
14.9332,68.9245,0.5659
14.9332,68.99,0.4925
14.9332,69.5138,0.5205
14.9332,69.5792,0.5107
14.9332,69.7102,0.645
14.9332,69.9721,0.4321
14.8677,67.6151,0.5554
14.8677,67.6805,0.5573
14.8677,67.746,0.5131
14.8677,67.8115,0.5085
14.8677,67.877,0.527
14.8677,67.9424,0.5679
14.8677,68.0079,0.5706
14.8677,68.2043,0.5961
14.8677,68.2698,0.571
14.8677,68.5317,0.7987
14.8677,68.5972,0.5225
14.8677,68.7281,0.7227
14.8677,68.7936,0.6002
14.8677,68.9245,0.6255
14.8677,68.99,0.5596
14.8677,69.0555,0.5098
14.8677,69.1209,0.4198
14.8677,69.5138,0.6543
14.8677,69.6447,0.7164
14.8677,69.7757,0.641
14.8677,69.9066,0.4184
14.8677,70.0376,0.5335
14.8677,70.8887,0.5204
14.8022,67.5496,0.3562
14.8022,67.6151,0.5749
14.8022,67.6805,0.5507
14.8022,67.746,0.5059
14.8022,67.8115,0.4896
14.8022,67.877,0.5158
14.8022,67.9424,0.5346
14.8022,68.0079,0.5655
14.8022,68.0734,0.6123
14.8022,68.1388,0.56
14.8022,68.2043,0.5704
14.8022,68.4662,0.7393
14.8022,68.5317,0.7059
14.8022,68.5972,0.6273
14.8022,68.6626,0.5998
14.8022,68.7281,0.532
14.8022,68.7936,0.4359
14.8022,68.859,0.5062
14.8022,68.99,0.6407
14.8022,69.3828,0.5896
14.8022,69.5792,0.5414
14.8022,69.6447,0.5715
14.8022,69.7757,0.6532
14.8022,69.8411,0.5143
14.8022,69.9066,0.4189
14.8022,70.1685,0.4252
14.8022,70.8887,0.4991
14.7367,67.4187,1.3842
14.7367,67.5496,1.7457
